NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Unit Per Package Size,Therapeutic Equivalent Code ,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date ,Date Reported to CMS
51991,0002,98,"BRECKENRIDGE PHARMACEUTICAL, INC.",Active,METHADONE HCL INJ MDV 200MG/20ML,01,0218252,N,1,N,12/16/2024,01/07/2025,ML,20,AP,Y,,01/07/2025,,,01/07/2025
68094,0905,10,"PRECISION DOSE, INC.",Active,Tetrabenazine 12.5mg,01,0207682,N,1,N,01/31/2017,01/07/2025,TAB,112,AB,N,,01/07/2025,,,01/08/2025
69292,0552,01,AMICI PHARMACEUTICALS LLC,Active,"DICLOFENAC POTASSIUM TABLETS, 50MG 100CT",01,0215787,N,1,N,03/15/2023,12/05/2024,TAB,100,AB,N,,12/05/2024,,,01/06/2025
69452,0209,60,"BIONPHARMA, INC.",Active,Nimodipine Capsules,01,0076740,N,1,N,01/17/2008,12/21/2017,CAP,10,AB,N,,12/21/2017,,,01/10/2025
69452,0350,60,"BIONPHARMA, INC.",Active,GRANISETRON HCl TABLET,01,0078678,N,1,N,02/13/2008,05/01/2016,TAB,1,AB,N,04/21/2022,04/21/2022,,,01/10/2025
70370,5050,01,"NEUROCRINE BIOSCIENCES, INC.",Active,Crenessity 50 mg,03,0218808,S,1,N,12/13/2024,12/23/2024,CAP,1,NR,N,,12/23/2024,,,01/07/2025
70370,5100,01,"NEUROCRINE BIOSCIENCES, INC.",Active,Crenessity 100 mg,03,0218808,S,1,N,12/13/2024,12/23/2024,CAP,1,NR,N,,12/23/2024,,,01/07/2025
70370,5250,01,"NEUROCRINE BIOSCIENCES, INC.",Active,Crenessity 50 mg/ml,03,0218820,S,1,N,12/13/2024,12/20/2024,ML,30,NR,N,,12/20/2024,,,01/07/2025
70512,0750,10,"SOLA PHARMACEUTICALS, LLC",Active,Diclofenac Potassium Oral Tablet 50 MG,01,0215787,N,1,N,03/15/2023,10/21/2024,EA,100,AB,N,,10/21/2024,,,01/06/2025
70512,0780,10,"SOLA PHARMACEUTICALS, LLC",Active,"Ibuprofen Tablets, USP 800 mg",01,0078329,N,1,N,02/05/2009,12/01/2024,EA,100,AB,N,,12/01/2024,,,01/06/2025
70512,0780,50,"SOLA PHARMACEUTICALS, LLC",Active,"Ibuprofen Tablets, USP 800 mg",01,0078329,N,1,N,02/05/2009,12/01/2024,EA,500,AB,N,,12/01/2024,,,01/06/2025
70512,0844,01,"SOLA PHARMACEUTICALS, LLC",Active,Ketorolac Tromethamine Intramuscular Solution 60 MG/2ML,01,0217789,N,1,N,05/10/2023,10/22/2024,ML,2,AP,N,,10/22/2024,,,01/10/2025
70512,0844,25,"SOLA PHARMACEUTICALS, LLC",Active,Ketorolac Tromethamine Intramuscular Solution 60 MG/2ML,01,0217789,N,1,N,05/10/2023,10/22/2024,ML,50,AP,N,,10/22/2024,,,01/10/2025
70512,0900,30,"SOLA PHARMACEUTICALS, LLC",Active,Diclofenac Potassium Oral Tablet 50 MG,01,0215787,N,1,N,03/15/2023,11/01/2024,EA,30,AB,N,,11/01/2024,,,01/06/2025
70756,0014,05,LIFESTAR PHARMA LLC,Active,NITROGLYCERIN SUBLINGUAL TAB 0.4MG(1X25),01,0217970,N,1,N,12/05/2023,02/13/2024,TAB,25,AB,N,,02/13/2024,,,01/08/2025
75907,0207,04,"DR. REDDY'S LABORATORIES, INC.",Active,Bromph/PseudoHCL/DM 2mg/30mg/10mg -118ml,01,0207676,N,1,N,12/04/2018,02/15/2019,ML,118,AA,N,12/16/2024,12/16/2024,,,01/09/2025
81968,0045,60,"Axsome Therapeutics, Inc.",Active,Auvelity,03,0215430,S,1,N,08/18/2022,10/17/2022,TAB,1,NR,N,,10/20/2022,,,01/08/2025
83324,0066,01,"Chain Drug Marketing Association, Inc.",Active,Aspirin 325 Mg Coated Tablets (QC90431),10,PART343,N,2,N,09/03/2024,09/03/2024,TAB,100,BC,N,,09/03/2024,,,01/10/2025
83324,0269,04,"Chain Drug Marketing Association, Inc.",Active,Lice Killing Shampoo (QC95339),10,PART358,N,2,N,01/03/2014,01/03/2014,ML,118,AT,N,,09/21/2023,,,01/10/2025
83324,0292,45,"Chain Drug Marketing Association, Inc.",Active,Enema Single Pack (QC90380),10,PART334,N,2,N,06/01/2010,06/01/2010,ML,133,AT,N,,09/21/2023,,,01/10/2025
83324,0293,90,"Chain Drug Marketing Association, Inc.",Active,Enema Twin Pk (QC97004),10,PART334,N,2,N,06/01/2010,06/01/2010,ML,266,AT,N,,09/21/2023,,,01/10/2025
